ID,Price,Location,Room,Area,Floor,Store,Date_Time,Link
220,101 493,Yasamal r.,2,75.2,,,13 yanvar 2022,https://bina.az/items/220
2568786,95 000,Əhmədli q.,2,60,11,17,bugün 15:34,https://bina.az/items/2568786
2568784,85 000,İnşaatçılar m.,2,50,1,5,bugün 15:33,https://bina.az/items/2568784
2568781,86 000,Neftçilər m.,2,56,6,9,bugün 15:32,https://bina.az/items/2568781
2524225,160 000,Nərimanov r.,2,72,13,14,bugün 15:31,https://bina.az/items/2524225
2568771,150 000,Şah İsmayıl Xətai m.,2,91,17,20,bugün 15:29,https://bina.az/items/2568771
2568766,78 000,Nərimanov r.,2,60,3,3,bugün 15:27,https://bina.az/items/2568766
2568758,146 000,Nəriman Nərimanov m.,2,83,2,16,bugün 15:25,https://bina.az/items/2568758
2568757,157 000,İnşaatçılar m.,2,85,13,19,bugün 15:25,https://bina.az/items/2568757
2568754,143 000,Nəsimi r.,2,69,9,18,bugün 16:05,https://bina.az/items/2568754
2568747,72 000,20 Yanvar m.,2,40,1,5,bugün 20:04,https://bina.az/items/2568747
2540872,140 000,Nardaran q.,2,60,3,4,bugün 15:20,https://bina.az/items/2540872
2568737,82 000,İnşaatçılar m.,2,80,18,18,bugün 15:19,https://bina.az/items/2568737
2568732,170 000,Elmlər Akademiyası m.,2,85,6,21,bugün 15:16,https://bina.az/items/2568732
2568728,88 000,Həzi Aslanov m.,2,69,3,18,bugün 15:15,https://bina.az/items/2568728
2568727,75 000,Yeni Yasamal q.,2,55,1,9,bugün 15:15,https://bina.az/items/2568727
2568722,190 000,28 May m.,2,70,9,16,bugün 15:14,https://bina.az/items/2568722
2568712,300 000,Şah İsmayıl Xətai m.,2,78,16,18,bugün 15:11,https://bina.az/items/2568712
2568711,171 000,Nərimanov r.,2,114,8,16,bugün 15:11,https://bina.az/items/2568711
2568698,95 000,Biləcəri q.,2,65,1,16,bugün 15:07,https://bina.az/items/2568698
2568691,70 000,Xalqlar Dostluğu m.,2,46,12,13,bugün 15:05,https://bina.az/items/2568691
2568681,130 000,Yasamal r.,2,87,3,17,bugün 15:02,https://bina.az/items/2568681
2568677,135 000,Nərimanov r.,2,72,13,17,bugün 15:00,https://bina.az/items/2568677
2568669,131 000,İnşaatçılar m.,2,60,5,17,bugün 14:56,https://bina.az/items/2568669
2568666,125 000,Yasamal r.,2,65,5,16,bugün 14:56,https://bina.az/items/2568666
2519321,87 000,Memar Əcəmi m.,2,48,3,5,29 dekabr 2021,https://bina.az/items/2519321
2544216,115 830,Memar Əcəmi m.,2,85.8,15,17,05 yanvar 2022,https://bina.az/items/2544216
2522173,67 500,Masazır q.,2,64.2,7,10,22 dekabr 2021,https://bina.az/items/2522173
2563476,144 500,Qara Qarayev m.,2,89,5,18,15 yanvar 2022,https://bina.az/items/2563476
220,99 456,Yasamal r.,2,77.7,,,13 yanvar 2022,https://bina.az/items/220
220,107 155,Yasamal r.,2,77.1,,,13 yanvar 2022,https://bina.az/items/220
220,101 493,Yasamal r.,2,75.2,,,13 yanvar 2022,https://bina.az/items/220
